StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Unspecified,Expanded,Age,Gender,Gender_3_TEXT,Employment,Employment_9_TEXT,SESLadder,PROLIFIC_PID,STUDY_ID,SESSION_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Imagine the following situation. You arrive at work one day and find that you have some unscheduled time.  You decide to:,"Imagine the following situation.  You arrive at work one day and find out that your employer has many opportunities for you in the years ahead.  The company would like you to stay with them for considerably longer than you had planned.  After thinking this over, you find that you have some unscheduled time today.  You decide to:",What is your current age (in years)?,Please indicate your gender. - Selected Choice,Please indicate your gender. - Other (please describe) - Text,What best describes your current employment status? - Selected Choice,What best describes your current employment status? - Not working - other (please explain) - Text,"Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who are the best off - those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worst off - who have the least money, least education, and the least respected jobs or no job. The higher up you are on this ladder, the closer you are to the people at the very top; the lower you are, the closer you are to the people at the very bottom.


Please select the number on the rung where you think you stand at this time in your life, relative to
other people in the United States.",PROLIFIC_PID,STUDY_ID,SESSION_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_3_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_10_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}"
2022-10-28 08:51:20,2022-10-28 08:52:33,IP Address,172.58.187.91,100,72,True,2022-10-28 08:52:33,R_1E7ndR2rlnnQxxy,,,,,39.0157,-77.0085,anonymous,EN,,Help a colleague or friend with a company project,27,Female,,,,6,,,
2022-10-28 08:54:12,2022-10-28 08:54:30,IP Address,172.58.187.224,100,18,True,2022-10-28 08:54:31,R_1QJG7CATEgiT9fy,,,,,39.0157,-77.0085,anonymous,EN,,Help a colleague or friend with a company project,27,Female,,,,6,,,
2022-10-28 09:41:32,2022-10-28 09:42:26,IP Address,174.193.141.0,100,53,True,2022-10-28 09:42:26,R_1I5hh0XPnwyqZp4,,,,,34.0447,-118.2946,anonymous,EN,,Work on a company project that may help you advance your career,24,Other (please describe),Nonbinary,,,4,,,
2022-10-28 09:40:13,2022-10-28 09:43:09,IP Address,135.180.163.152,100,175,True,2022-10-28 09:43:09,R_Z8gIZa5P6lSIKTn,,,,,37.8371,-122.2773,anonymous,EN,Help a colleague or friend with a company project,,22,Female,,,,7,,,
2022-10-28 09:51:10,2022-10-28 09:53:22,IP Address,76.132.189.8,100,131,True,2022-10-28 09:53:22,R_1pQI9fG3fEp7XQE,,,,,37.4651,-122.143,anonymous,EN,,Work on a company project that may help you advance your career,28,Female,,,,7,,,
2022-10-28 10:41:13,2022-10-28 10:42:52,IP Address,163.114.132.134,100,99,True,2022-10-28 10:42:52,R_3hFrPf18IO8PMNL,,,,,37.4073,-121.939,anonymous,EN,,Work on a company project that may lead the company in a new direction,25,Female,,,,5,,,
2022-10-28 12:45:37,2022-10-28 12:46:56,IP Address,67.170.236.88,100,79,True,2022-10-28 12:46:56,R_2CglZ34qqVjwZ1T,,,,,37.8657,-122.2571,anonymous,EN,,Work on a company project that may help you advance your career,22,Other (please describe),Non binary,,,5,,,
2022-10-28 13:28:05,2022-10-28 13:30:54,IP Address,67.188.25.203,100,168,True,2022-10-28 13:30:54,R_VQFRJzPbpiVTegh,,,,,37.8657,-122.2571,anonymous,EN,,Help a colleague or friend with a company project,22,Female,,,,3,,,
